#Timing,Name,HeadYaw,HeadPitch,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RWristYaw,LWristYaw
00:04:450,Pose55,-0.001,-0.555,2.085,-0.244,-0.125,1.518,2.085,0.223,0.135,-1.483,-0.056,0.005,-0.016,1.550,0.383,-0.010,-0.056,-0.005,-0.014,1.536,0.392,0.038,1.819,-1.793 
00:04:500,Pose56,0.001,-0.505,2.084,-0.245,-0.122,1.523,2.084,0.224,0.130,-1.484,-0.049,0.000,-0.000,1.502,0.404,-0.009,-0.049,-0.005,0.001,1.487,0.412,0.036,1.804,-1.769 
00:04:550,Pose57,0.002,-0.461,2.082,-0.246,-0.119,1.525,2.082,0.226,0.126,-1.484,-0.042,-0.004,0.015,1.454,0.424,-0.009,-0.042,-0.005,0.016,1.440,0.432,0.035,1.791,-1.747 
00:04:600,Pose58,0.003,-0.411,2.080,-0.246,-0.115,1.527,2.080,0.228,0.121,-1.484,-0.034,-0.010,0.034,1.396,0.448,-0.008,-0.034,-0.005,0.035,1.382,0.456,0.033,1.774,-1.719 
00:04:650,Pose59,0.004,-0.353,2.078,-0.247,-0.111,1.529,2.078,0.230,0.115,-1.484,-0.025,-0.016,0.055,1.329,0.476,-0.007,-0.025,-0.005,0.056,1.316,0.483,0.031,1.754,-1.687 
00:04:700,Pose60,0.006,-0.292,2.076,-0.248,-0.106,1.531,2.076,0.232,0.108,-1.484,-0.015,-0.023,0.079,1.255,0.507,-0.007,-0.015,-0.005,0.079,1.242,0.514,0.029,1.732,-1.652 
00:04:750,Pose61,0.007,-0.226,2.073,-0.250,-0.101,1.533,2.073,0.234,0.101,-1.485,-0.004,-0.031,0.104,1.175,0.540,-0.006,-0.004,-0.005,0.105,1.163,0.547,0.027,1.709,-1.614 
00:04:800,Pose62,0.009,-0.157,2.071,-0.251,-0.096,1.535,2.070,0.237,0.093,-1.485,0.008,-0.039,0.131,1.090,0.576,-0.006,0.008,-0.005,0.131,1.079,0.581,0.024,1.684,-1.574 
00:04:850,Pose63,0.010,-0.087,2.068,-0.252,-0.090,1.536,2.067,0.240,0.085,-1.485,0.020,-0.048,0.159,1.002,0.612,-0.005,0.020,-0.005,0.159,0.992,0.617,0.022,1.659,-1.532 
00:04:900,Pose64,0.011,-0.016,2.065,-0.254,-0.084,1.538,2.064,0.242,0.077,-1.486,0.032,-0.056,0.188,0.913,0.649,-0.004,0.032,-0.005,0.187,0.904,0.654,0.019,1.633,-1.490 
00:04:950,Pose65,0.013,0.055,2.062,-0.255,-0.079,1.539,2.062,0.245,0.069,-1.486,0.045,-0.065,0.216,0.823,0.686,-0.004,0.045,-0.005,0.215,0.816,0.690,0.017,1.607,-1.447 
00:05:000,Pose66,0.014,0.124,2.060,-0.257,-0.073,1.540,2.059,0.248,0.061,-1.486,0.057,-0.074,0.244,0.735,0.723,-0.003,0.057,-0.005,0.243,0.729,0.726,0.014,1.581,-1.406 
00:05:050,Pose67,0.016,0.222,2.056,-0.259,-0.065,1.542,2.055,0.252,0.049,-1.487,0.074,-0.088,0.284,0.609,0.775,-0.002,0.074,-0.005,0.283,0.605,0.778,0.010,1.545,-1.346 
00:05:100,Pose68,0.017,0.282,2.053,-0.261,-0.060,1.542,2.052,0.254,0.042,-1.487,0.085,-0.096,0.309,0.530,0.808,-0.002,0.085,-0.005,0.307,0.528,0.810,0.008,1.522,-1.309 
00:05:150,Pose69,0.018,0.337,2.051,-0.262,-0.056,1.543,2.050,0.256,0.036,-1.487,0.094,-0.104,0.332,0.459,0.837,-0.001,0.094,-0.005,0.330,0.458,0.839,0.006,1.502,-1.275 
00:05:200,Pose70,0.019,0.386,2.049,-0.264,-0.052,1.544,2.048,0.258,0.030,-1.487,0.103,-0.112,0.352,0.395,0.863,-0.001,0.103,-0.005,0.349,0.395,0.864,0.004,1.483,-1.246 
00:05:250,Pose71,0.020,0.427,2.048,-0.265,-0.049,1.544,2.046,0.260,0.025,-1.488,0.110,-0.119,0.369,0.340,0.886,-0.001,0.110,-0.005,0.366,0.342,0.886,0.003,1.468,-1.220 
00:05:300,Pose72,0.021,0.459,2.046,-0.267,-0.046,1.544,2.045,0.261,0.021,-1.488,0.116,-0.125,0.382,0.296,0.903,-0.000,0.116,-0.005,0.379,0.300,0.903,0.001,1.456,-1.200 
00:05:350,Pose73,0.021,0.482,2.045,-0.268,-0.044,1.545,2.044,0.262,0.018,-1.488,0.120,-0.130,0.392,0.265,0.915,-0.000,0.120,-0.005,0.389,0.270,0.915,0.001,1.447,-1.186 
00:05:400,Pose74,0.021,0.494,2.045,-0.269,-0.043,1.545,2.043,0.262,0.017,-1.488,0.122,-0.135,0.397,0.247,0.922,-0.000,0.122,-0.005,0.394,0.254,0.922,0.000,1.443,-1.179 
00:05:450,Pose75,0.021,0.495,2.045,-0.271,-0.043,1.544,2.043,0.262,0.017,-1.488,0.123,-0.138,0.396,0.243,0.923,0.000,0.123,-0.004,0.393,0.251,0.923,0.000,1.442,-1.178 
00:05:500,Pose76,0.021,0.495,2.045,-0.272,-0.045,1.544,2.044,0.262,0.019,-1.487,0.123,-0.141,0.383,0.240,0.923,0.000,0.123,-0.002,0.381,0.250,0.923,0.000,1.442,-1.181 
00:05:550,Pose77,0.021,0.495,2.046,-0.273,-0.050,1.540,2.045,0.261,0.027,-1.484,0.123,-0.145,0.344,0.237,0.923,0.000,0.123,0.007,0.342,0.249,0.923,0.000,1.443,-1.188 
00:05:600,Pose78,0.021,0.495,2.047,-0.273,-0.055,1.537,2.046,0.261,0.035,-1.481,0.123,-0.147,0.305,0.235,0.923,0.000,0.123,0.016,0.303,0.248,0.923,0.000,1.444,-1.196 
00:05:650,Pose79,0.021,0.495,2.048,-0.274,-0.061,1.533,2.047,0.260,0.044,-1.477,0.122,-0.150,0.257,0.234,0.923,0.000,0.122,0.026,0.256,0.247,0.923,0.000,1.445,-1.205 
00:05:700,Pose80,0.021,0.494,2.049,-0.275,-0.068,1.528,2.048,0.259,0.054,-1.473,0.122,-0.152,0.201,0.232,0.923,0.000,0.122,0.038,0.200,0.247,0.923,0.000,1.446,-1.216 
00:05:750,Pose81,0.021,0.493,2.050,-0.275,-0.076,1.523,2.050,0.258,0.067,-1.467,0.122,-0.154,0.137,0.230,0.923,0.000,0.122,0.052,0.138,0.246,0.923,0.000,1.448,-1.228 
00:05:800,Pose82,0.020,0.493,2.051,-0.275,-0.085,1.516,2.052,0.257,0.080,-1.461,0.121,-0.155,0.067,0.229,0.923,0.000,0.121,0.068,0.069,0.246,0.923,0.000,1.449,-1.242 
00:05:850,Pose83,0.020,0.492,2.053,-0.276,-0.094,1.509,2.054,0.256,0.094,-1.454,0.121,-0.157,-0.008,0.228,0.923,0.000,0.121,0.084,-0.005,0.245,0.923,0.000,1.451,-1.256 
00:05:900,Pose84,0.020,0.490,2.054,-0.276,-0.104,1.502,2.056,0.254,0.109,-1.447,0.120,-0.158,-0.087,0.227,0.923,0.000,0.120,0.101,-0.084,0.245,0.923,0.000,1.453,-1.271 
00:05:950,Pose85,0.020,0.489,2.056,-0.277,-0.115,1.493,2.058,0.253,0.125,-1.439,0.119,-0.159,-0.170,0.226,0.923,0.000,0.119,0.120,-0.166,0.244,0.923,0.000,1.454,-1.287 
00:06:000,Pose86,0.019,0.487,2.057,-0.277,-0.126,1.485,2.060,0.252,0.142,-1.431,0.118,-0.160,-0.256,0.225,0.923,0.000,0.118,0.138,-0.250,0.244,0.923,0.000,1.456,-1.304 
00:06:050,Pose87,0.019,0.485,2.059,-0.277,-0.137,1.475,2.063,0.250,0.158,-1.421,0.117,-0.161,-0.343,0.224,0.923,0.000,0.117,0.157,-0.336,0.244,0.923,0.000,1.458,-1.320 
00:06:100,Pose88,0.018,0.481,2.061,-0.278,-0.153,1.460,2.066,0.248,0.184,-1.407,0.114,-0.163,-0.475,0.223,0.923,0.000,0.114,0.186,-0.466,0.243,0.922,0.000,1.461,-1.346 
00:06:150,Pose89,0.018,0.478,2.063,-0.279,-0.164,1.450,2.068,0.247,0.200,-1.396,0.112,-0.163,-0.562,0.223,0.923,0.000,0.112,0.205,-0.552,0.243,0.922,0.000,1.463,-1.363 
00:06:200,Pose90,0.017,0.474,2.065,-0.280,-0.175,1.439,2.071,0.245,0.217,-1.385,0.110,-0.164,-0.647,0.222,0.923,0.000,0.110,0.224,-0.637,0.243,0.922,0.000,1.465,-1.379 
00:06:250,Pose91,0.017,0.470,2.066,-0.281,-0.186,1.427,2.073,0.244,0.233,-1.374,0.108,-0.164,-0.730,0.222,0.923,0.000,0.108,0.242,-0.718,0.243,0.922,0.000,1.467,-1.395 
00:06:300,Pose92,0.017,0.466,2.068,-0.282,-0.196,1.416,2.075,0.243,0.248,-1.362,0.105,-0.165,-0.810,0.222,0.922,0.000,0.105,0.260,-0.797,0.243,0.922,0.000,1.468,-1.410 
00:06:350,Pose93,0.016,0.461,2.069,-0.283,-0.205,1.404,2.077,0.242,0.262,-1.350,0.102,-0.165,-0.885,0.222,0.922,0.000,0.102,0.276,-0.871,0.243,0.922,0.000,1.470,-1.425 
00:06:400,Pose94,0.016,0.455,2.071,-0.284,-0.214,1.392,2.079,0.240,0.275,-1.337,0.099,-0.165,-0.955,0.221,0.922,0.000,0.099,0.291,-0.940,0.242,0.922,0.000,1.472,-1.438 
00:06:450,Pose95,0.015,0.449,2.072,-0.286,-0.222,1.379,2.080,0.239,0.288,-1.325,0.095,-0.165,-1.018,0.221,0.922,0.000,0.095,0.305,-1.002,0.242,0.922,0.000,1.473,-1.450 
00:06:500,Pose96,0.015,0.442,2.073,-0.288,-0.229,1.367,2.082,0.238,0.298,-1.312,0.091,-0.165,-1.074,0.221,0.922,0.000,0.091,0.318,-1.058,0.242,0.922,0.000,1.474,-1.461 
00:06:550,Pose97,0.014,0.435,2.074,-0.290,-0.235,1.354,2.083,0.238,0.307,-1.298,0.086,-0.166,-1.123,0.221,0.922,0.000,0.086,0.328,-1.105,0.242,0.922,0.000,1.475,-1.470 
00:06:600,Pose98,0.013,0.423,2.075,-0.293,-0.242,1.335,2.085,0.237,0.318,-1.278,0.079,-0.166,-1.177,0.221,0.922,0.000,0.079,0.340,-1.159,0.242,0.922,0.000,1.476,-1.481 
00:06:650,Pose99,0.013,0.414,2.075,-0.296,-0.245,1.322,2.085,0.236,0.323,-1.264,0.073,-0.166,-1.201,0.221,0.922,0.000,0.073,0.345,-1.183,0.242,0.922,0.000,1.477,-1.485 
00:06:700,Pose100,0.012,0.404,2.076,-0.299,-0.247,1.309,2.086,0.236,0.325,-1.250,0.068,-0.166,-1.213,0.221,0.922,0.000,0.068,0.348,-1.195,0.242,0.922,0.000,1.477,-1.488 
00:06:750,Pose101,0.012,0.393,2.076,-0.303,-0.247,1.296,2.085,0.237,0.325,-1.235,0.060,-0.165,-1.215,0.223,0.922,-0.000,0.060,0.347,-1.196,0.244,0.922,0.000,1.477,-1.487 
00:06:800,Pose102,0.011,0.377,2.076,-0.309,-0.247,1.280,2.084,0.243,0.325,-1.220,0.042,-0.161,-1.214,0.238,0.920,-0.002,0.042,0.340,-1.196,0.257,0.919,0.003,1.477,-1.481 
00:06:850,Pose103,0.011,0.356,2.076,-0.317,-0.246,1.262,2.080,0.254,0.325,-1.203,0.015,-0.154,-1.213,0.267,0.916,-0.006,0.015,0.326,-1.194,0.282,0.914,0.009,1.477,-1.470 
00:06:900,Pose104,0.010,0.332,2.075,-0.328,-0.244,1.242,2.075,0.270,0.323,-1.185,-0.020,-0.144,-1.211,0.307,0.911,-0.012,-0.020,0.307,-1.192,0.316,0.907,0.017,1.476,-1.453 
00:06:950,Pose105,0.009,0.304,2.075,-0.340,-0.242,1.220,2.069,0.290,0.321,-1.166,-0.063,-0.131,-1.209,0.358,0.905,-0.019,-0.063,0.282,-1.190,0.360,0.898,0.027,1.475,-1.433 
00:07:000,Pose106,0.008,0.273,2.075,-0.355,-0.239,1.197,2.063,0.313,0.318,-1.145,-0.111,-0.116,-1.207,0.416,0.898,-0.027,-0.111,0.254,-1.187,0.411,0.887,0.038,1.474,-1.410 
00:07:050,Pose107,0.007,0.241,2.075,-0.371,-0.235,1.173,2.055,0.339,0.314,-1.124,-0.164,-0.099,-1.204,0.481,0.889,-0.036,-0.164,0.223,-1.183,0.467,0.876,0.051,1.472,-1.384 
00:07:100,Pose108,0.005,0.191,2.075,-0.398,-0.228,1.136,2.042,0.380,0.304,-1.091,-0.248,-0.072,-1.200,0.586,0.876,-0.051,-0.248,0.172,-1.178,0.560,0.856,0.072,1.468,-1.342 
00:07:150,Pose109,0.004,0.157,2.074,-0.417,-0.221,1.112,2.034,0.409,0.295,-1.068,-0.306,-0.054,-1.197,0.659,0.866,-0.061,-0.306,0.137,-1.174,0.625,0.842,0.086,1.465,-1.312 
00:07:200,Pose110,0.003,0.123,2.074,-0.437,-0.213,1.088,2.025,0.437,0.284,-1.044,-0.363,-0.035,-1.194,0.732,0.856,-0.072,-0.363,0.102,-1.171,0.690,0.828,0.100,1.460,-1.283 
00:07:250,Pose111,0.002,0.091,2.073,-0.458,-0.204,1.064,2.017,0.465,0.270,-1.020,-0.419,-0.017,-1.191,0.802,0.845,-0.081,-0.419,0.068,-1.167,0.755,0.814,0.114,1.455,-1.255 
00:07:300,Pose112,0.001,0.061,2.073,-0.479,-0.193,1.043,2.009,0.492,0.253,-0.995,-0.471,0.000,-1.188,0.870,0.835,-0.091,-0.471,0.036,-1.164,0.818,0.800,0.127,1.448,-1.228 
00:07:350,Pose113,0.001,0.034,2.072,-0.501,-0.180,1.022,2.001,0.516,0.234,-0.970,-0.519,0.016,-1.185,0.932,0.825,-0.100,-0.519,0.006,-1.160,0.877,0.787,0.139,1.441,-1.203 
00:07:400,Pose114,-0.000,0.010,2.071,-0.522,-0.166,1.004,1.995,0.538,0.211,-0.944,-0.562,0.030,-1.183,0.986,0.816,-0.107,-0.562,-0.020,-1.158,0.931,0.775,0.150,1.432,-1.181 
00:07:450,Pose115,-0.001,-0.010,2.070,-0.544,-0.150,0.988,1.990,0.556,0.185,-0.918,-0.597,0.042,-1.181,1.032,0.807,-0.114,-0.597,-0.042,-1.155,0.979,0.763,0.159,1.422,-1.163 
00:07:500,Pose116,-0.001,-0.025,2.069,-0.565,-0.132,0.975,1.985,0.570,0.155,-0.893,-0.624,0.051,-1.179,1.067,0.799,-0.118,-0.624,-0.059,-1.154,1.019,0.753,0.166,1.411,-1.149 
00:07:550,Pose117,-0.001,-0.035,2.068,-0.586,-0.111,0.965,1.983,0.578,0.121,-0.867,-0.641,0.056,-1.178,1.089,0.791,-0.122,-0.641,-0.070,-1.152,1.049,0.744,0.170,1.398,-1.140 
00:07:600,Pose118,-0.001,-0.038,2.064,-0.616,-0.077,0.957,1.982,0.581,0.061,-0.827,-0.647,0.058,-1.178,1.096,0.783,-0.122,-0.647,-0.073,-1.152,1.076,0.735,0.172,1.376,-1.137 
00:07:650,Pose119,0.002,-0.036,2.051,-0.637,-0.050,0.953,1.982,0.577,0.011,-0.799,-0.647,0.054,-1.181,1.093,0.777,-0.120,-0.647,-0.068,-1.155,1.089,0.730,0.169,1.358,-1.142 
00:07:700,Pose120,0.008,-0.031,2.028,-0.660,-0.019,0.949,1.983,0.569,-0.050,-0.769,-0.647,0.046,-1.186,1.087,0.772,-0.116,-0.647,-0.060,-1.161,1.101,0.725,0.164,1.339,-1.152 
00:07:750,Pose121,0.017,-0.025,1.995,-0.684,0.014,0.946,1.984,0.558,-0.118,-0.737,-0.647,0.034,-1.193,1.078,0.766,-0.110,-0.647,-0.047,-1.168,1.112,0.720,0.157,1.318,-1.166 
00:07:800,Pose122,0.028,-0.016,1.953,-0.709,0.050,0.943,1.986,0.544,-0.195,-0.704,-0.647,0.019,-1.203,1.067,0.761,-0.102,-0.647,-0.031,-1.179,1.122,0.715,0.148,1.295,-1.184 
00:07:850,Pose123,0.042,-0.006,1.903,-0.735,0.088,0.940,1.988,0.528,-0.278,-0.670,-0.647,0.001,-1.214,1.054,0.755,-0.093,-0.647,-0.012,-1.191,1.131,0.711,0.137,1.271,-1.205 
00:07:900,Pose124,0.057,0.005,1.846,-0.762,0.128,0.938,1.990,0.508,-0.368,-0.634,-0.647,-0.019,-1.227,1.038,0.749,-0.082,-0.647,0.011,-1.204,1.140,0.707,0.124,1.246,-1.230 
00:07:950,Pose125,0.074,0.018,1.783,-0.790,0.170,0.936,1.993,0.487,-0.462,-0.598,-0.647,-0.042,-1.241,1.021,0.744,-0.070,-0.647,0.035,-1.220,1.147,0.703,0.110,1.220,-1.257 
00:08:000,Pose126,0.093,0.032,1.715,-0.818,0.213,0.934,1.995,0.463,-0.561,-0.561,-0.647,-0.067,-1.257,1.002,0.738,-0.057,-0.647,0.062,-1.237,1.155,0.699,0.095,1.193,-1.287 
00:08:050,Pose127,0.113,0.047,1.641,-0.846,0.257,0.933,1.998,0.438,-0.663,-0.523,-0.647,-0.093,-1.273,0.982,0.733,-0.044,-0.647,0.091,-1.254,1.161,0.696,0.079,1.165,-1.318 
00:08:100,Pose128,0.145,0.071,1.525,-0.888,0.324,0.931,2.003,0.398,-0.821,-0.467,-0.647,-0.136,-1.300,0.951,0.725,-0.022,-0.647,0.137,-1.283,1.169,0.691,0.053,1.123,-1.369 
00:08:150,Pose129,0.168,0.087,1.444,-0.916,0.369,0.930,2.006,0.370,-0.927,-0.430,-0.647,-0.166,-1.319,0.928,0.720,-0.006,-0.647,0.169,-1.303,1.174,0.688,0.035,1.095,-1.404 
00:08:200,Pose130,0.191,0.104,1.361,-0.944,0.414,0.929,2.010,0.341,-1.034,-0.393,-0.647,-0.196,-1.337,0.906,0.715,0.009,-0.647,0.202,-1.323,1.178,0.685,0.016,1.066,-1.440 
00:08:250,Pose131,0.214,0.121,1.278,-0.971,0.458,0.928,2.014,0.312,-1.141,-0.357,-0.647,-0.227,-1.357,0.883,0.710,0.025,-0.647,0.235,-1.344,1.182,0.682,-0.002,1.038,-1.477 
00:08:300,Pose132,0.237,0.138,1.194,-0.998,0.501,0.927,2.017,0.283,-1.246,-0.322,-0.646,-0.258,-1.376,0.860,0.706,0.041,-0.646,0.268,-1.364,1.185,0.680,-0.021,1.011,-1.513 
00:08:350,Pose133,0.260,0.155,1.112,-1.024,0.543,0.927,2.021,0.254,-1.348,-0.288,-0.646,-0.288,-1.395,0.837,0.701,0.057,-0.646,0.300,-1.385,1.188,0.678,-0.039,0.984,-1.549 
00:08:400,Pose134,0.283,0.172,1.031,-1.048,0.584,0.926,2.025,0.225,-1.448,-0.255,-0.646,-0.318,-1.413,0.815,0.697,0.072,-0.646,0.332,-1.404,1.190,0.676,-0.057,0.957,-1.585 
00:08:450,Pose135,0.305,0.188,0.953,-1.072,0.623,0.926,2.029,0.197,-1.543,-0.224,-0.646,-0.348,-1.431,0.794,0.693,0.087,-0.646,0.363,-1.424,1.192,0.674,-0.075,0.932,-1.619 
00:08:500,Pose136,0.326,0.203,0.878,-1.094,0.659,0.925,2.033,0.171,-1.634,-0.194,-0.646,-0.376,-1.448,0.773,0.690,0.101,-0.646,0.393,-1.442,1.194,0.672,-0.092,0.908,-1.652 
00:08:550,Pose137,0.346,0.217,0.808,-1.114,0.694,0.925,2.036,0.145,-1.718,-0.167,-0.646,-0.403,-1.464,0.754,0.686,0.114,-0.646,0.421,-1.460,1.195,0.671,-0.107,0.886,-1.683 
00:08:600,Pose138,0.373,0.237,0.712,-1.141,0.740,0.924,2.042,0.110,-1.833,-0.130,-0.646,-0.439,-1.486,0.727,0.682,0.133,-0.646,0.459,-1.483,1.196,0.669,-0.129,0.855,-1.725 
00:08:650,Pose139,0.390,0.249,0.656,-1.157,0.766,0.923,2.045,0.089,-1.899,-0.109,-0.646,-0.461,-1.499,0.712,0.680,0.143,-0.646,0.481,-1.497,1.197,0.668,-0.141,0.836,-1.750 
00:08:700,Pose140,0.404,0.259,0.607,-1.171,0.789,0.922,2.049,0.070,-1.956,-0.091,-0.646,-0.481,-1.511,0.698,0.677,0.153,-0.646,0.500,-1.509,1.198,0.667,-0.152,0.820,-1.772 
00:08:750,Pose141,0.416,0.267,0.567,-1.182,0.808,0.922,2.052,0.054,-2.004,-0.075,-0.646,-0.497,-1.520,0.687,0.676,0.160,-0.646,0.517,-1.519,1.198,0.666,-0.161,0.806,-1.790 
00:08:800,Pose142,0.426,0.274,0.535,-1.191,0.823,0.921,2.055,0.040,-2.041,-0.063,-0.646,-0.511,-1.527,0.678,0.674,0.166,-0.646,0.529,-1.527,1.198,0.665,-0.169,0.795,-1.804 
00:08:850,Pose143,0.433,0.278,0.513,-1.197,0.833,0.919,2.058,0.030,-2.067,-0.055,-0.646,-0.521,-1.532,0.672,0.674,0.171,-0.646,0.538,-1.532,1.198,0.665,-0.174,0.786,-1.814 
00:08:900,Pose144,0.438,0.280,0.508,-1.198,0.835,0.919,2.059,0.028,-2.072,-0.053,-0.646,-0.528,-1.535,0.669,0.673,0.173,-0.646,0.542,-1.535,1.198,0.664,-0.176,0.783,-1.817 
00:08:950,Pose145,0.439,0.281,0.505,-1.199,0.837,0.918,2.061,0.024,-2.077,-0.051,-0.646,-0.530,-1.536,0.671,0.673,0.173,-0.646,0.543,-1.536,1.198,0.664,-0.176,0.780,-1.819 
00:09:000,Pose146,0.441,0.280,0.507,-1.196,0.838,0.917,2.063,0.021,-2.079,-0.050,-0.646,-0.533,-1.536,0.686,0.673,0.173,-0.646,0.543,-1.536,1.198,0.664,-0.176,0.777,-1.820 
00:09:050,Pose147,0.441,0.280,0.519,-1.187,0.839,0.916,2.065,0.018,-2.080,-0.049,-0.646,-0.535,-1.536,0.716,0.673,0.173,-0.646,0.543,-1.535,1.198,0.664,-0.176,0.775,-1.821 
00:09:100,Pose148,0.442,0.279,0.539,-1.172,0.839,0.915,2.067,0.016,-2.081,-0.048,-0.646,-0.536,-1.536,0.758,0.673,0.173,-0.646,0.543,-1.535,1.198,0.663,-0.176,0.772,-1.822 
00:09:150,Pose149,0.442,0.277,0.583,-1.138,0.838,0.914,2.070,0.013,-2.081,-0.047,-0.646,-0.538,-1.536,0.840,0.673,0.173,-0.646,0.543,-1.535,1.198,0.663,-0.176,0.770,-1.822 
00:09:200,Pose150,0.443,0.276,0.622,-1.109,0.837,0.913,2.072,0.011,-2.081,-0.046,-0.646,-0.540,-1.536,0.905,0.673,0.173,-0.646,0.543,-1.535,1.198,0.663,-0.176,0.768,-1.823 
00:09:250,Pose151,0.443,0.275,0.665,-1.075,0.836,0.912,2.074,0.010,-2.081,-0.046,-0.646,-0.540,-1.536,0.977,0.673,0.173,-0.646,0.543,-1.535,1.198,0.663,-0.176,0.767,-1.823 
00:09:300,Pose152,0.443,0.273,0.712,-1.038,0.834,0.912,2.076,0.008,-2.081,-0.046,-0.646,-0.541,-1.536,1.054,0.673,0.173,-0.646,0.543,-1.535,1.198,0.663,-0.176,0.766,-1.823 
00:09:350,Pose153,0.443,0.272,0.761,-0.998,0.832,0.911,2.078,0.007,-2.081,-0.045,-0.646,-0.542,-1.536,1.134,0.673,0.173,-0.646,0.543,-1.535,1.198,0.663,-0.176,0.765,-1.823 
00:09:400,Pose154,0.443,0.271,0.811,-0.956,0.829,0.910,2.079,0.007,-2.081,-0.045,-0.646,-0.542,-1.536,1.216,0.673,0.173,-0.646,0.543,-1.535,1.198,0.663,-0.176,0.764,-1.824 
00:09:450,Pose155,0.443,0.269,0.860,-0.913,0.826,0.909,2.081,0.006,-2.081,-0.045,-0.646,-0.543,-1.536,1.297,0.673,0.173,-0.646,0.543,-1.534,1.198,0.663,-0.176,0.764,-1.824 
00:09:500,Pose156,0.443,0.268,0.907,-0.871,0.821,0.907,2.082,0.006,-2.080,-0.045,-0.646,-0.543,-1.536,1.377,0.673,0.173,-0.646,0.543,-1.534,1.198,0.663,-0.176,0.764,-1.824 
00:09:550,Pose157,0.443,0.267,0.950,-0.829,0.816,0.905,2.083,0.005,-2.080,-0.045,-0.646,-0.543,-1.536,1.454,0.673,0.173,-0.646,0.543,-1.534,1.198,0.663,-0.176,0.763,-1.824 
00:09:600,Pose158,0.444,0.266,1.004,-0.770,0.806,0.902,2.084,0.005,-2.080,-0.045,-0.646,-0.543,-1.536,1.559,0.673,0.173,-0.646,0.543,-1.534,1.198,0.663,-0.176,0.763,-1.824 
00:09:650,Pose159,0.445,0.266,1.031,-0.734,0.798,0.898,2.085,0.007,-2.080,-0.044,-0.646,-0.543,-1.536,1.620,0.673,0.173,-0.646,0.543,-1.534,1.198,0.663,-0.176,0.762,-1.824 
00:09:700,Pose160,0.446,0.265,1.049,-0.703,0.789,0.895,2.085,0.011,-2.080,-0.043,-0.646,-0.543,-1.536,1.672,0.673,0.173,-0.646,0.543,-1.534,1.198,0.663,-0.176,0.762,-1.824 
00:09:750,Pose161,0.448,0.265,1.055,-0.677,0.776,0.884,2.085,0.017,-2.080,-0.042,-0.644,-0.542,-1.534,1.715,0.667,0.175,-0.644,0.543,-1.534,1.205,0.664,-0.175,0.761,-1.824 
00:09:800,Pose162,0.452,0.265,1.049,-0.655,0.754,0.857,2.085,0.023,-2.080,-0.042,-0.639,-0.537,-1.527,1.752,0.649,0.182,-0.639,0.544,-1.534,1.225,0.666,-0.172,0.760,-1.824 
00:09:850,Pose163,0.456,0.265,1.031,-0.640,0.721,0.809,2.086,0.030,-2.080,-0.041,-0.632,-0.531,-1.517,1.784,0.621,0.192,-0.632,0.545,-1.534,1.254,0.670,-0.167,0.760,-1.823 
00:09:900,Pose164,0.461,0.265,1.003,-0.627,0.678,0.743,2.086,0.035,-2.080,-0.041,-0.623,-0.522,-1.503,1.811,0.584,0.205,-0.623,0.546,-1.535,1.290,0.675,-0.160,0.759,-1.823 
00:09:950,Pose165,0.466,0.265,0.968,-0.616,0.626,0.662,2.086,0.038,-2.081,-0.041,-0.612,-0.511,-1.486,1.834,0.541,0.220,-0.612,0.547,-1.535,1.330,0.680,-0.152,0.759,-1.822 
00:10:000,Pose166,0.471,0.265,0.929,-0.608,0.568,0.572,2.086,0.041,-2.081,-0.041,-0.601,-0.499,-1.466,1.854,0.493,0.236,-0.601,0.549,-1.535,1.370,0.686,-0.144,0.759,-1.822 
00:10:050,Pose167,0.476,0.265,0.888,-0.603,0.508,0.480,2.086,0.042,-2.082,-0.041,-0.589,-0.485,-1.443,1.872,0.441,0.252,-0.589,0.550,-1.535,1.408,0.693,-0.135,0.758,-1.821 
00:10:100,Pose168,0.484,0.265,0.830,-0.597,0.419,0.352,2.086,0.043,-2.083,-0.041,-0.572,-0.462,-1.404,1.898,0.360,0.276,-0.572,0.551,-1.535,1.455,0.703,-0.121,0.758,-1.820 
00:10:150,Pose169,0.488,0.265,0.800,-0.592,0.365,0.284,2.086,0.044,-2.083,-0.042,-0.563,-0.445,-1.376,1.916,0.306,0.289,-0.563,0.552,-1.536,1.475,0.709,-0.112,0.758,-1.820 
00:10:200,Pose170,0.491,0.265,0.779,-0.587,0.319,0.238,2.086,0.045,-2.083,-0.042,-0.555,-0.428,-1.347,1.934,0.255,0.301,-0.555,0.552,-1.536,1.482,0.715,-0.104,0.758,-1.820 
00:10:250,Pose171,0.493,0.264,0.768,-0.580,0.283,0.216,2.086,0.047,-2.083,-0.042,-0.549,-0.410,-1.315,1.954,0.202,0.311,-0.549,0.552,-1.536,1.477,0.721,-0.096,0.758,-1.819 
